総取引における距離の平均,1444,合算地,13000,何番目に好きな人に売れたの平均,5,何番目に好きな人から買えたの平均,6
売りたい家の数,2,買いたい家の数,3,,,,
売れた家の数,2,買えた家の数,2,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Ford,Madison,1000,115201,1,1,,
総取引における距離の平均,1000,合算地,1000,何番目に好きな人に売れたの平均,1,何番目に好きな人から買えたの平均,1
売りたい家の数,2,買いたい家の数,2,,,,
売れた家の数,2,買えた家の数,2,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Obama,Kennedy,1500,45801,1,2,,
Adams,Johnson,3000,232700,2,1,,
総取引における距離の平均,2250,合算地,4500,何番目に好きな人に売れたの平均,1,何番目に好きな人から買えたの平均,1
売りたい家の数,5,買いたい家の数,3,,,,
売れた家の数,3,買えた家の数,3,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Kennedy,Clinton,1000,94401,2,2,,
Taft,Adams,1500,193301,3,1,,
総取引における距離の平均,1250,合算地,2500,何番目に好きな人に売れたの平均,1,何番目に好きな人から買えたの平均,2
売りたい家の数,8,買いたい家の数,6,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Clinton,Polk,500,348001,5,1,,
Washington,Tyler,3500,97001,5,5,,
Fillmore,Buren,500,168001,4,4,,
Pierce,Cleveland,3500,309801,2,2,,
Hayes,Grant,500,218701,5,3,,
総取引における距離の平均,1700,合算地,8500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,17,買いたい家の数,8,,,,
売れた家の数,8,買えた家の数,8,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Nixson,Jackson,3000,309801,8,3,,
Polk,Fillmore,1000,336001,6,1,,
Tyler,Pierce,3500,312801,5,2,,
Buren,Arthur,1500,94401,6,5,,
Buchanan,Hayes,1500,247901,6,4,,
Grant,Mckinley,1000,74801,7,6,,
Garfield,Harrison,1500,33801,6,8,,
Cleveland,Monroe,2000,33801,5,7,,
総取引における距離の平均,1875,合算地,15000,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,6
売りたい家の数,11,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Hoover,Washington,2000,257501,7,4,,
Ford,Madison,1000,115201,6,6,,
Monroe,Garfield,3000,108001,6,7,,
Jackson,Buchanan,1500,198001,6,5,,
Arthur,Truman,3500,309801,6,1,,
Harrison,Taft,2500,309801,7,2,,
Mckinley,Lincoln,1500,302401,3,3,,
総取引における距離の平均,2142,合算地,15000,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,5
売りたい家の数,8,買いたい家の数,5,,,,
売れた家の数,5,買えた家の数,5,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Bush,Hoover,1000,108001,4,3,,
Truman,Obama,2500,257501,4,1,,
Coolidge,Jefferson,2000,74801,3,4,,
Madison,Ford,1000,26401,4,5,,
Lincoln,Nixson,3000,108001,5,2,,
総取引における距離の平均,1900,合算地,9500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,7,買いたい家の数,3,,,,
売れた家の数,3,買えた家の数,3,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Obama,Coolidge,500,45801,3,3,,
Adams,Taylor,2500,232701,1,1,,
Jefferson,Carter,1000,45801,2,3,,
総取引における距離の平均,1333,合算地,4000,何番目に好きな人に売れたの平均,2,何番目に好きな人から買えたの平均,2
売りたい家の数,5,買いたい家の数,4,,,,
売れた家の数,4,買えた家の数,4,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Taft,Bush,500,193301,4,4,,
Carter,Roosevelt,1500,302401,2,2,,
Clinton,Adams,1500,348001,2,1,,
Taylor,Eisenhower,2000,264800,4,3,,
総取引における距離の平均,1375,合算地,5500,何番目に好きな人に売れたの平均,2,何番目に好きな人から買えたの平均,3
売りたい家の数,8,買いたい家の数,6,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Eisenhower,Nixson,1500,158801,6,4,,
Roosevelt,Taft,1500,108001,5,5,,
Polk,Washington,4000,336001,5,1,,
Fillmore,Buren,500,168001,4,3,,
Hayes,Clinton,3500,218701,3,2,,
総取引における距離の平均,2200,合算地,11000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,9,買いたい家の数,6,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Nixson,Pierce,3000,309801,5,2,,
Washington,Buchanan,1500,97001,5,5,,
Monroe,Hayes,1500,108001,5,4,,
Jackson,Arthur,2000,198001,4,3,,
Tyler,Cleveland,1000,312801,5,1,,
総取引における距離の平均,1800,合算地,9000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,13,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Madison,Fillmore,2000,26401,7,7,,
Buren,Polk,1500,94401,7,4,,
Pierce,Tyler,3500,309801,5,1,,
Buchanan,Lincoln,500,247901,3,3,,
Grant,Garfield,3000,74801,4,5,,
Arthur,Jackson,2000,309801,7,2,,
Cleveland,Mckinley,1000,33801,5,6,,
総取引における距離の平均,1928,合算地,13500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,5
売りたい家の数,6,買いたい家の数,7,,,,
売れた家の数,6,買えた家の数,6,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Reagan,Madison,1500,69801,5,5,,
Adams,Ford,1000,232701,5,3,,
Lincoln,Coolidge,1500,108001,5,4,,
Garfield,Monroe,3000,33801,2,6,,
Harrison,Grant,1500,309801,2,1,,
Mckinley,Bush,3500,302400,6,2,,
総取引における距離の平均,2000,合算地,12000,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,8,買いたい家の数,5,,,,
売れた家の数,5,買えた家の数,5,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Kennedy,Jefferson,2000,94401,5,4,,
Bush,Adams,2000,108001,4,3,,
Truman,Harrison,2500,257501,3,1,,
Ford,Taylor,1500,115201,2,2,,
総取引における距離の平均,2000,合算地,8000,何番目に好きな人に売れたの平均,2,何番目に好きな人から買えたの平均,3
売りたい家の数,8,買いたい家の数,5,,,,
売れた家の数,5,買えた家の数,5,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Roosevelt,Carter,1500,108001,5,3,,
Taft,Fillmore,1500,193301,5,2,,
Coolidge,Clinton,1000,74801,3,4,,
Jefferson,Polk,3500,45801,4,5,,
Taylor,Truman,1000,264800,5,1,,
総取引における距離の平均,1700,合算地,8500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,4
売りたい家の数,8,買いたい家の数,8,,,,
売れた家の数,8,買えた家の数,8,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Nixson,Eisenhower,1500,2,7,8,,
Carter,Johnson,2500,2,8,1,,
Clinton,Kennedy,1000,2,6,2,,
Obama,Reagan,1500,2,5,6,,
Washington,Taft,2500,2,4,7,,
Jackson,Roosevelt,3000,2,4,8,,
Polk,Tyler,500,2,2,3,,
Fillmore,Hayes,2000,2,1,4,,
総取引における距離の平均,1812,合算地,14500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,4
売りたい家の数,9,買いたい家の数,4,,,,
売れた家の数,4,買えた家の数,4,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Johnson,Jackson,4000,2,3,4,,
Eisenhower,Monroe,3000,2,4,2,,
Tyler,Grant,2000,2,2,3,,
Hayes,Cleveland,1500,2,1,4,,
総取引における距離の平均,2625,合算地,10500,何番目に好きな人に売れたの平均,3,何番目に好きな人から買えたの平均,2
