,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,Hayes,Cleveland,1500,218701,6,7
,Garfield,Truman,4000,33801,11,11
,Arthur,Coolidge,1500,309801,8,4
,Harrison,Kennedy,3500,309801,12,3
,Mckinley,Grant,1000,302401,1,5
,総取引における距離の平均,1916.0,合算地,23000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,6,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Jefferson,1000,69801,5,4
,Taft,Jackson,2500,193301,4,2
,Truman,Hayes,3500,257501,2,1
,Buren,Arthur,1500,94401,4,3
,総取引における距離の平均,2125.0,合算地,8500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,5,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Jefferson,Lincoln,1500,45801,2,2
,Monroe,Buren,1000,108001,3,1
,総取引における距離の平均,1250.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Lincoln,Monroe,500,108001,1,1
,総取引における距離の平均,500.0,合算地,500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,5,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Adams,2500,94401,5,4
,Hoover,Roosevelt,1000,257501,5,2
,Clinton,Taylor,4000,348001,4,1
,Fillmore,Washington,3000,168001,3,3
,総取引における距離の平均,2625.0,合算地,10500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,16,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Fillmore,2000,108001,6,4
,Obama,Garfield,1500,45801,7,6
,Adams,Hayes,2000,232701,5,3
,Washington,Arthur,4000,97001,6,5
,Taylor,Harrison,3500,264801,2,2
,Pierce,Mckinley,2500,309801,1,1
,総取引における距離の平均,2583.0,合算地,15500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,16,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Jackson,3000,108001,9,6
,Madison,Clinton,2500,26401,9,9
,Polk,Carter,2500,336001,8,1
,Hayes,Obama,3000,218701,6,5
,Garfield,Buchanan,4000,33801,6,7
,Arthur,Tyler,500,309801,4,2
,Cleveland,Ford,2500,33801,9,8
,Harrison,Buren,500,309801,3,3
,Mckinley,Pierce,2500,302401,2,4
,総取引における距離の平均,2333.0,合算地,21000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Kennedy,500,309801,8,2
,Ford,Bush,1000,115201,7,6
,Carter,Taft,1000,302401,6,3
,Monroe,Truman,2000,108001,8,7
,Jackson,Hoover,2000,198001,5,5
,Tyler,Coolidge,1000,312801,3,1
,Buren,Polk,1500,94401,3,8
,Buchanan,Madison,500,247901,2,4
,総取引における距離の平均,1187.0,合算地,9500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Nixson,500,193301,3,2
,Truman,Monroe,2000,257501,2,1
,Coolidge,Grant,2000,74801,1,3
,総取引における距離の平均,1500.0,合算地,4500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Lincoln,3500,94401,2,2
,Hoover,Fillmore,1000,257501,2,1
,総取引における距離の平均,2250.0,合算地,4500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,8,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Eisenhower,2500,232701,6,2
,Jefferson,Kennedy,2000,45801,6,6
,Fillmore,Roosevelt,2000,168001,3,3
,Pierce,Reagan,1500,309801,2,1
,Lincoln,Hoover,2000,108001,1,4
,Grant,Johnson,4500,74800,6,5
,総取引における距離の平均,2416.0,合算地,14500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,8,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Madison,3000,2,4,5
,Roosevelt,Jefferson,1500,2,5,2
,Reagan,Taylor,2000,2,3,3
,Harrison,Garfield,1500,2,3,4
,Mckinley,Pierce,2500,2,2,5
,総取引における距離の平均,2100.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Adams,2500,2,9,9
,Bush,Carter,1500,2,9,1
,Obama,Washington,3000,2,8,5
,Madison,Clinton,2500,2,8,1
,Polk,Hayes,3000,2,7,9
,Taylor,Jackson,2500,2,5,3
,Garfield,Tyler,1000,2,4,3
,Arthur,Harrison,1000,2,4,5
,Cleveland,Mckinley,1000,2,6,8
,総取引における距離の平均,2000.0,合算地,18000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
